STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 2,Minimal,Oct-06-2018,40,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 2,Minimal,Oct-13-2018,41,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 2,Minimal,Oct-20-2018,42,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 3,Minimal,Oct-27-2018,43,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 4,Low,Nov-03-2018,44,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 5,Low,Nov-10-2018,45,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 5,Low,Nov-17-2018,46,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 6,Moderate,Nov-24-2018,47,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 6,Moderate,Dec-01-2018,48,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 5,Low,Dec-08-2018,49,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 8,High,Dec-15-2018,50,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 9,High,Dec-22-2018,51,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 10,High,Dec-29-2018,52,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 9,High,Jan-05-2019,1,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 7,Moderate,Jan-12-2019,2,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 10,High,Jan-19-2019,3,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 10,High,Jan-26-2019,4,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 10,High,Feb-02-2019,5,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 10,High,Feb-09-2019,6,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 10,High,Feb-16-2019,7,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 10,High,Feb-23-2019,8,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Oct-06-2018,40,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Oct-13-2018,41,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Oct-20-2018,42,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Oct-27-2018,43,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Nov-03-2018,44,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 1,Minimal,Nov-10-2018,45,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 2,Minimal,Nov-17-2018,46,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 2,Minimal,Nov-24-2018,47,2018-19
